id,results_title,results_first_aired,results_imdb_id,results_tvdb,results_themoviedb,results_artwork_208x117,results_artwork_304x171,results_artwork_448x252,results_artwork_608x342,bingeRank,createdAt,updatedAt
61,"Chicago PD","2014-01-08 00:00:00",tt2805096,269641,58841,http://static-api.guidebox.com/091414/thumbnails_small/17294-6503826836-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/17294-2839731132-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/17294-7252148068-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/17294-24979353-608x342-show-thumbnail.jpg,NULL,NULL,NULL
62,"Altered Carbon","2018-02-02 00:00:00",tt2261227,332331,68421,http://static-api.guidebox.com/100117/thumbnails_small/47412-9770642998-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/47412-3577509984-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/47412-5541531579-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/47412-6616025120-608x342.jpg,NULL,NULL,NULL
63,"Giada on the Beach","2018-05-19 00:00:00",tt7587890,0,79744,http://static-api.guidebox.com/100117/thumbnails_small/49459-4565055287-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/49459-2390271486-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/49459-5268541216-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/49459-7459898432-608x342.jpg,NULL,NULL,NULL
64,"Vedikai Padalgal -Tamil","2018-05-18 00:00:00",tt1190634,0,76479,http://static-api.guidebox.com/100117/thumbnails_small/53689-6682830914-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/53689-8672719476-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/53689-5266548409-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/53689-2428533039-608x342.jpg,NULL,NULL,NULL
65,"Parks and Recreation","2009-04-09 00:00:00",tt1266020,84912,8592,http://static-api.guidebox.com/091414/thumbnails_small/208-9493863498-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/208-7239209525-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/208-5501169516-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/208-1266064234-608x342-show-thumbnail.jpg,NULL,NULL,NULL
66,"Chicago Fire","2012-10-10 00:00:00",tt2261391,258541,44006,http://static-api.guidebox.com/091414/thumbnails_small/12991-4360985626-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/12991-4533200949-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/12991-8600077382-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/12991-8954659937-608x342-show-thumbnail.jpg,NULL,NULL,NULL
67,"Locked Up","2015-04-20 00:00:00",tt4524056,294741,0,http://static-api.guidebox.com/091716/thumbnails_small/42616-8531324817-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/42616-4979766062-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/42616-4954289300-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/42616-6991181425-608x342.jpg,NULL,NULL,NULL
68,"Sons of Anarchy","2008-09-03 00:00:00",tt1124373,82696,1409,http://static-api.guidebox.com/091414/thumbnails_small/617-1003306760-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/617-8610155843-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/617-745434487-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/617-4148821062-608x342-show-thumbnail.jpg,NULL,NULL,NULL
69,Legacies,"2018-09-12 00:00:00",tt8103070,349309,79460,http://static-api.guidebox.com/100117/thumbnails_small/49421-7262510331-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/49421-5071701189-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/49421-3694402296-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/49421-4278402743-608x342.jpg,NULL,NULL,NULL
70,Narcos,"2015-08-18 00:00:00",tt2707408,282670,63351,http://static-api.guidebox.com/111615/thumbnails_small/32533-5126612708-208x117.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/32533-5900745443-304x171.jpg,http://static-api.guidebox.com/111615/thumbnails_large/32533-1008175239-448x252.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/32533-8344062557-608x342.jpg,NULL,NULL,NULL
71,"The Good Doctor","2017-09-25 00:00:00",tt6470478,328634,71712,http://static-api.guidebox.com/091716/thumbnails_small/44616-4512650017-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/44616-9509060634-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_large/44616-3175097234-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/44616-1491943775-608x342-show-thumbnail.jpg,NULL,NULL,NULL
72,Arrow,"2012-10-10 00:00:00",tt2193021,257655,1412,http://static-api.guidebox.com/091414/thumbnails_small/13015-8851756258-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/13015-7129820809-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/13015-2719832999-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/13015-6382877868-608x342-show-thumbnail.jpg,NULL,NULL,NULL
73,"Big Little Lies","2017-02-19 00:00:00",tt3920596,305719,66292,http://static-api.guidebox.com/091716/thumbnails_small/42277-6240357552-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/42277-9065791540-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/42277-7868112921-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/42277-4896201123-608x342.jpg,NULL,NULL,NULL
74,"How I Met Your Mother","2005-09-19 00:00:00",tt0460649,75760,1100,http://static-api.guidebox.com/120214/thumbnails_small/962-1665245979-208x117.jpg,http://static-api.guidebox.com/120214/thumbnails_medium/962-8354797293-304x171.jpg,http://static-api.guidebox.com/120214/thumbnails_large/962-102441339-448x252.jpg,http://static-api.guidebox.com/120214/thumbnails_xlarge/962-2724190275-608x342.jpg,NULL,NULL,NULL
75,Psych,"2006-07-07 00:00:00",tt0491738,79335,1447,http://static-api.guidebox.com/091414/thumbnails_small/294-4445327884-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/294-3284454523-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/294-7646362162-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/294-706329099-608x342-show-thumbnail.jpg,NULL,NULL,NULL
76,"The Simpsons","1989-12-17 00:00:00",tt0096697,71663,456,http://static-api.guidebox.com/thumbnails_small/65-2979382193-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/65-3239342114-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/65-3950643120-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/65-1366816564-608x342.jpg,NULL,NULL,NULL
77,"Locke & Key","2020-02-07 00:00:00",tt3007572,361594,0,http://static-api.guidebox.com/100117/thumbnails_small/59181-2097552563-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/59181-9300130554-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/59181-8325376664-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/59181-1721984987-608x342.jpg,NULL,NULL,NULL
78,House,"2004-11-16 00:00:00",tt0412142,73255,1408,http://static-api.guidebox.com/091414/thumbnails_small/56-9528278578-208x117-title-card.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/56-3153635930-304x171-title-card.jpg,http://static-api.guidebox.com/091414/thumbnails_large/56-5482161669-448x252-title-card.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/56-8016869616-608x342-title-card.jpg,NULL,NULL,NULL
79,"This Is Us","2016-05-15 00:00:00",tt5555260,311714,67136,http://static-api.guidebox.com/111615/thumbnails_small/37117-3013112238-208x117.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/37117-3751064502-304x171.jpg,http://static-api.guidebox.com/111615/thumbnails_large/37117-9383674399-448x252.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/37117-1206293381-608x342.jpg,NULL,NULL,NULL
80,"New Amsterdam","2018-10-01 00:00:00",tt7817340,349272,80350,http://static-api.guidebox.com/100117/thumbnails_small/52343-2546982542-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/52343-6598016224-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/52343-6358286277-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/52343-4416048140-608x342.jpg,NULL,NULL,NULL
81,"Illogical Conclusions","2017-10-24 00:00:00",tt7335184,0,78191,http://static-api.guidebox.com/100117/thumbnails_small/45723-8852025009-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/45723-545457597-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/45723-1502404330-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/45723-2704864140-608x342.jpg,NULL,NULL,NULL
82,"Rick and Morty","2013-12-02 00:00:00",tt2861424,275274,60625,http://static-api.guidebox.com/041014/thumbnails_small/16279-8828293541-208x117.jpg,http://static-api.guidebox.com/041014/thumbnails_medium/16279-4692241978-304x171.jpg,http://static-api.guidebox.com/041014/thumbnails_large/16279-7382150129-448x252.jpg,http://static-api.guidebox.com/041014/thumbnails_xlarge/16279-9424173706-608x342.jpg,NULL,NULL,NULL
